id,name,airbrblink,imageURL,reviews,experience,maxGuests,description,rooms,beds ,baths,withParking,amenities,safety features,restrictions,homeIsNear
deerwood,DeerWood,https://www.airbnb.com/rooms/21191142,https://a0.muscache.com/im/pictures/bbe383de-3962-4a38-9976-74bd2709c461.jpg,4,,8,Description of DeerWood goes here,3,4,2.5,yes,wifi; dryer; TV; hangers; washer; iron; shampoo; hair dryer; essentials; heating; air conditioning; private entrance,smoke detector; first aid kit; fire extinguisher ,no smoking; not suitable for pets; no parties or events,
wee-kirk,Wee Kirk,https://www.airbnb.com/rooms/14823536,https://a0.muscache.com/im/pictures/b634e8ed-9d23-4aea-8bf4-ead8349aab4f.jpg,4.5,,6,Description of Wee Kirk 2 goes here,3,3,1,yes,kitchen; wifi; cable TV; dryer; hangers; washer; iron; shampoo; hair dryer; essentials; heating; air conditioning,smoke detector; carbon monoxide detector; first aid kit; safety card; fire extinguisher ,no smoking; not suitable for pets; no parties or events,
vinson,Vinson,https://www.airbnb.com/rooms/16032699,https://a0.muscache.com/im/pictures/32956562/3eefc762_original.jpg,5,,8,Description of Vinson goes here,3,4,2,yes,kitchen; wifi; breakfast; laptop-friendly; dryer; TV; hangers; washer; iron; shampoo; hair dryer; essentials; heating; air conditioning,smoke detector; carbon monoxide detector; first aid kit; fire extinguisher ,no smoking; not suitable for pets; no parties or events,
